SchoolName,Type,NumberBoys,NumberGirls,OfstedGrade
St Peter and Paul Catholic Primary School,Primary,230,250,3
Sacred Heart Catholic Primary School,Primary,220,215,3
St Teresa's Catholic Primary School,Primary,240,225,2
St Mary's Catholic Primary School,Primary,180,185,1
St John Fisher RC Primary School,Primary,235,225,2
The Priory CofE School,Primary,235,215,2
Ricards Lodge High School,Secondary,0,1290,2
Raynes Park High School,Secondary,610,470,2
Rutlish School,Secondary,1225,0,2
Wimbledon College,Secondary,1270,0,2
Ursuline High School Wimbledon,Secondary,0,1385,1
Altmore Infant School,Primary,275,280,2
Avenue Primary School,Primary,450,425,2
Brampton Primary School,Primary,485,455,1
Carpenters Primary School,Primary,245,215,3
Curwen Primary and Nursery School,Primary,380,405,1
Dersingham Primary School,Primary,330,340,2
Drew Primary School,Primary,190,225,2
Earlham Primary School,Primary,225,170,2
Elmhurst Primary School,Primary,530,460,1
Gainsborough Primary School,Primary,230,175,2
Godwin Junior School,Primary,180,160,2
Woodgrange Infant School,Primary,185,170,2
Grange Primary School,Primary,120,120,2
Hallsville Primary School,Primary,235,230,1
Keir Hardie Primary School,Primary,205,230,2
Kensington Primary School,Primary,265,275,3
Lathom Junior School,Primary,210,260,2
Manor Primary School,Primary,200,185,3
Maryland Primary School,Primary,245,210,2
Monega Primary School,Primary,365,340,2
Ranelagh Primary School,Primary,235,230,2
Nelson Primary School,Primary,425,450,2
New City Primary School,Primary,295,315,3
Odessa Infant School,Primary,170,165,3
Park Primary School,Primary,245,260,2
Ravenscroft Primary School,Primary,275,290,2
Roman Road Primary School,Primary,165,185,2
Rosetta Primary School,Primary,265,285,2
Salisbury Primary School,Primary,280,290,2
Shaftesbury Primary School,Primary,350,330,3
William Davies Primary School,Primary,130,120,2
Star Primary School,Primary,365,330,2
St Stephen's Primary School,Primary,235,215,1
Tollgate Primary School,Primary,245,250,1
Winsor Primary School,Primary,315,285,3
Colegrave Primary School,Primary,285,300,2
Southern Road Primary School,Primary,370,350,2
Scott Wilkie Primary School,Primary,200,180,2
Calverton Primary School,Primary,210,195,2
Ellen Wilkinson Primary School,Primary,245,245,2
Cleves Primary School,Primary,260,235,1
North Beckton Primary School,Primary,290,295,3
Vicarage Primary School,Primary,465,425,2
Essex Primary School,Primary,495,480,2
St James' CofE Junior School,Primary,165,165,2
West Ham Church Primary School,Primary,165,170,3
St Luke's Primary School,Primary,125,130,1
St Edward's Catholic Primary School,Primary,245,220,1
St Francis' Catholic Primary School,Primary,240,210,3
St Michael's Catholic Primary School,Primary,130,130,2
St Winefride's RC Primary School,Primary,170,170,1
Forest Gate Community School,Secondary,710,330,3
Little Ilford School,Secondary,810,515,1
Rokeby School,Secondary,760,0,2
Lister Community School,Secondary,780,540,2
Plashet School,Secondary,0,1350,1
The Cumberland School,Secondary,750,690,2
Eastlea Community School,Secondary,405,510,2
Sarah Bonnell School,Secondary,0,1180,2
St Angela's Ursuline School,Secondary,95,1270,1
St Bonaventure's RC School,Secondary,1175,80,1
Manford Primary School,Primary,280,260,2
Cleveland Road Primary School,Primary,280,270,1
Downshall Primary School,Primary,290,310,2
Farnham Green Primary School,Primary,320,330,3
Fairlop Primary School,Primary,390,380,2
Gilbert Colvin Primary School,Primary,245,225,2
Glade Primary School,Primary,270,225,2
Goodmayes Primary School,Primary,345,340,2
Gordon Infants' School,Primary,120,105,2
Mossford Green Primary School,Primary,205,205,2
Newbury Park Primary School,Primary,490,445,2
Uphall Primary School,Primary,505,485,2
William Torbitt Primary School,Primary,360,345,2
Aldersbrook Primary School,Primary,345,305,1
Roding Primary School,Primary,275,245,2
Wells Primary School,Primary,210,150,1
Snaresbrook Primary School,Primary,230,235,2
Fullwood Primary School,Primary,245,230,1
Woodlands Primary School,Primary,470,465,2
Grove Primary School,Primary,300,290,2
Chadwell Primary School,Primary,290,275,2
Coppice Primary School,Primary,245,245,2
John Bramston Primary School,Primary,295,235,2
Nightingale Primary School,Primary,370,405,1
Barley Lane Primary School,Primary,405,370,3
Wanstead Church School,Primary,135,115,2
St Augustine's Catholic Primary School,Primary,225,240,3
Our Lady of Lourdes RC Primary School,Primary,215,240,2
St Antony's Catholic Primary School,Primary,225,235,2
St Bede's Catholic Primary School,Primary,230,240,1
Wohl Ilford Jewish Primary School,Primary,170,185,2
SS Peter and Paul's Catholic Primary School,Primary,215,250,2
Caterham High School,Secondary,670,545,2
Ilford County High School,Secondary,935,0,1
Wanstead High School,Secondary,840,710,2
Woodford County High School,Secondary,0,890,1
Woodbridge High School,Secondary,815,800,2
Seven Kings School,All Through,720,675,1
Valentines High School,Secondary,670,635,1
Mayfield School,Secondary,860,755,2
Trinity Catholic High School,Secondary,845,845,1
King Solomon High School,Secondary,490,435,3
Carlisle Infant School,Primary,135,135,2
Darell Primary and Nursery School,Primary,165,160,2
East Sheen Primary School,Primary,245,235,1
Hampton Hill Junior School,Primary,180,175,1
Hampton Junior School,Primary,180,155,2
Hampton Infant School and Nursery,Primary,195,155,1
Hampton Wick Infant and Nursery School,Primary,160,160,1
Heathfield Junior School,Primary,200,205,2
Heathfield Infant School,Primary,215,205,3
Lowther Primary School,Primary,200,190,2
Meadlands Primary School,Primary,105,125,3
Orleans Primary School,Primary,230,175,1
The Russell Primary School,Primary,150,120,2
Sheen Mount Primary School,Primary,255,215,1
Stanley  Primary School,Primary,470,385,2
Trafalgar Junior School,Primary,175,175,2
Trafalgar Infant School,Primary,140,130,1
Barnes Primary School,Primary,260,265,1
Collis Primary School,Primary,375,365,1
Buckingham Primary School,Primary,285,275,2
Chase Bridge Primary School,Primary,315,295,2
The Vineyard School,Primary,265,245,1
St Richard's Church of England Primary School,Primary,110,115,2
Holy Trinity Church of England Primary School,Primary,230,230,1
St Mary Magdalen's Catholic Primary School,Primary,125,140,1
St Elizabeth's Catholic Primary School,Primary,125,135,1
St John the Baptist Church of England Junior School,Primary,135,115,2
St Edmund's Catholic Primary School,Primary,245,230,2
St James's Roman Catholic Primary School,Primary,340,345,1
St Mary's Church of England Primary School,Primary,300,295,1
St Stephen's Church of England Primary School,Primary,215,210,2
Sacred Heart Roman Catholic Primary School,Primary,125,100,2
St Mary's and St Peter's Church of England Primary School,Primary,285,305,1
Bishop Perrin Church of England Primary School,Primary,95,115,1
St Osmund's Catholic Primary School,Primary,130,115,2
Archdeacon Cambridge's Church of England Primary School,Primary,245,250,2
The Queen's Church of England Primary School,Primary,175,235,2
Christ's Church of England Comprehensive Secondary School,Secondary,420,280,2
Bandon Hill Primary School,Primary,385,375,1
Barrow Hedges Primary School,Primary,360,285,2
Cheam Common Infants' School,Primary,205,205,2
Cheam Fields Primary School,Primary,230,240,2
Abbey Primary School,Primary,225,225,2
Hackbridge Primary School,Primary,285,305,2
High View Primary School,Primary,235,225,3
Devonshire Primary School,Primary,300,310,2
Manor Park Primary School,Primary,295,235,1
Brookfield Primary School,Primary,180,190,2
Victor Seymour Infants' School,Primary,165,160,2
Robin Hood Infants' School,Primary,135,135,1
Dorchester Primary School,Primary,275,285,2
Beddington Infants' School,Primary,160,160,2
Robin Hood Junior School,Primary,185,175,2
Nonsuch Primary School,Primary,125,125,1
Foresters Primary School,Primary,145,110,2
Amy Johnson Primary School,Primary,180,150,2
Rushy Meadow Primary School,Primary,240,230,2
All Saints Benhilton CofE Primary School,Primary,185,185,2
Holy Trinity CofE Junior School,Primary,175,180,2
St Dunstan's Cheam CofE Primary School,Primary,240,245,2
St Cecilia's Catholic Primary School,Primary,230,255,1
St Mary's RC Junior School,Primary,130,135,1
St Mary's RC Infants School,Primary,165,160,2
St Elphege's RC Junior School,Primary,125,130,1
St Elphege's RC Infants' School,Primary,160,155,1
Stanley Park High School,Secondary,625,545,2
All Saints Carshalton Church of England Primary School,Primary,185,185,2
Stanley Park Junior School,Primary,165,200,2
Stanley Park Infants' School,Primary,120,150,1
The John Fisher School,Secondary,1030,0,2
St Philomena's School,Secondary,0,1285,1
Chase Lane Primary School,Primary,390,340,2
Whitehall Primary School,Primary,245,230,2
Downsell Primary School,Primary,305,300,3
Newport School,Primary,415,415,1
Chapel End Infant School and Early Years Centre,Primary,210,185,2
Edinburgh Primary School,Primary,310,305,2
Greenleaf Primary School,Primary,270,255,1
Handsworth Primary School,Primary,240,230,2
Thorpe Hall Primary School,Primary,260,285,2
The Winns Primary School,Primary,460,415,2
Woodford Green Primary School,Primary,120,95,2
Oakhill Primary School,Primary,150,120,1
Henry Maynard Primary School,Primary,455,445,2
South Grove Primary School,Primary,290,275,2
Dawlish Primary School,Primary,105,140,3
Gwyn Jones Primary School,Primary,180,195,2
George Tomlinson Primary School,Primary,345,280,2
Mission Grove Primary School,Primary,400,385,2
Coppermill Primary School,Primary,150,145,2
Stoneydown Park School,Primary,225,205,2
Buxton School,All Through,800,725,2
Parkside Primary School,Primary,225,210,2
The Jenny Hammond Primary School,Primary,120,140,2
Chingford CofE Primary School,Primary,215,200,2
St Mary's Catholic Primary School,Primary,115,105,1
St Joseph's Catholic Junior School,Primary,115,125,2
St Patrick's Catholic Primary School,Primary,215,225,2
St Saviour's Church of England Primary School,Primary,235,195,2
St Joseph's Catholic Infant School,Primary,95,120,2
St Mary's Walthamstow CofE Voluntary Aided Primary School,Primary,205,265,2
Frederick Bremer School,Secondary,580,285,2
George Mitchell School,All Through,465,465,3
Heathcote School & Science College,Secondary,595,535,2
Norlington School and 6th Form,Secondary,510,0,2
Willowfield Humanities College,Secondary,370,280,2
Leytonstone School,Secondary,545,305,3
Walthamstow School for Girls,Secondary,0,895,2
Kelmscott School,Secondary,530,360,3
Holy Family Catholic School,Secondary,615,530,2
St Mary's and St John's CofE School,All Through,350,325,2
St Paul's Academy,Secondary,695,480,2
Wraysbury Primary School,Primary,190,180,2
Holy Family Catholic Primary School,Primary,225,250,2
Pippins School,Primary,100,105,2
Denham Village Infant School,Primary,20,20,2
Fulmer Infant School,Primary,35,35,1
The Iver Village Junior School,Primary,70,95,3
Chalfont St Peter Infant School,Primary,85,90,1
Iver Heath Junior School,Primary,100,85,2
Iver Heath Infant School and Nursery,Primary,135,100,2
Robertswood School,Primary,225,210,2
Iver Village Infant School,Primary,90,75,2
St Joseph's Catholic Primary School,Primary,220,200,3
Chigwell Row Infant School,Primary,30,40,2
Aveley Primary School,Primary,215,190,2
Somers Heath Primary School,Primary,115,120,3
The Alderton Junior School,Primary,145,110,2
The Alderton Infant School,Primary,115,80,2
White Bridge Primary School,Primary,95,85,2
West Horndon Primary School,Primary,65,60,2
Limes Farm Junior School,Primary,65,85,2
Hereward Primary School,Primary,205,190,1
Lambourne Primary School,Primary,90,115,2
Stapleford Abbotts Primary School,Primary,80,60,2
Limes Farm Infant School and Nursery,Primary,90,95,2
Bonnygate Primary School,Primary,195,175,3
Hogarth Primary School,Primary,105,125,3
Warley Primary School,Primary,115,100,2
Buckhurst Hill Community Primary School,Primary,215,180,2
Bulphan Church of England Voluntary Controlled Primary School,Primary,40,55,2
"St John's Church of England Voluntary Controlled Primary School, Buckhurst Hill",Primary,195,190,2
High Beech Church of England Voluntary Controlled Primary School,Primary,50,55,2
Bentley St Paul's Church of England Voluntary Aided Primary School,Primary,100,105,2
Ingrave Johnstone Church of England Voluntary Aided Primary School,Primary,115,95,2
"St Peter's Church of England Voluntary Aided Primary School, South Weald",Primary,150,175,1
Orsett Church of England Voluntary Aided Primary School,Primary,115,105,2
"St Thomas of Canterbury Church of England Aided Junior School, Brentwood",Primary,165,145,2
Holy Cross Catholic Primary School,Primary,170,150,3
St Thomas of Canterbury Church of England Aided Infant School,Primary,115,105,1
Roding Valley High School,Secondary,550,570,2
The Leverton Infant and Nursery School,Primary,120,105,2
The Leverton Junior School,Primary,115,135,3
Waltham Holy Cross Primary School,Primary,120,140,2
St John Fisher Catholic Primary School,Primary,205,195,3
St Helen's Catholic Infant School,Primary,130,140,1
Thomas Willingale Primary School and Nursery,Primary,245,245,2
Upshire Primary Foundation School,Primary,115,75,2
Bushey Heath Primary School,Primary,125,115,1
Highwood Primary School,Primary,220,240,2
Merry Hill Infant School and Nursery,Primary,120,110,1
Holdbrook Primary School,Primary,120,100,3
Four Swannes Primary School,Primary,85,100,2
Chorleywood Primary School,Primary,110,120,2
Shepherd Primary,Primary,130,95,2
The Russell School,Primary,145,120,3
Cowley Hill School,Primary,220,215,2
Yorke Mead Primary School,Primary,150,170,2
Harvey Road Primary School,Primary,130,110,1
Little Green Junior School,Primary,190,175,2
Malvern Way Infant and Nursery School,Primary,150,175,1
Shenley Primary School,Primary,175,150,2
Central Primary School,Primary,190,170,2
Bushey and Oxhey Infant School,Primary,80,95,2
Chater Junior School,Primary,125,120,1
Chater Infant School,Primary,125,115,2
Field Junior School,Primary,110,125,2
Watford Field School (Infant & Nursery),Primary,135,125,2
St Meryl School,Primary,120,110,2
Warren Dell Primary School,Primary,135,125,2
Oxhey Wood Primary School,Primary,190,155,2
Hurst Drive Primary School,Primary,185,150,3
Woodlands Primary School,Primary,110,120,2
Summerswood Primary School,Primary,195,195,3
Kenilworth Primary School,Primary,110,120,2
Meryfield Primary School,Primary,215,215,2
Greenfields Primary School,Primary,95,120,2
Woodhall Primary School,Primary,120,100,2
Saffron Green Primary School,Primary,95,110,2
Monksmead School,Primary,125,115,2
Brookland Junior School,Primary,140,110,2
Bushey Manor Junior School,Primary,130,115,2
Goffs Oak Primary & Nursery School,Primary,105,135,2
Eastbury Farm Primary School,Primary,160,185,3
Downfield Primary School,Primary,195,195,2
Maple Cross Junior Mixed Infant and Nursery School,Primary,100,105,2
Brookland Infant and Nursery School,Primary,145,180,2
Arnett Hills Junior Mixed and Infant School,Primary,110,105,3
Holywell Primary School,Primary,250,280,2
Bournehall Primary School,Primary,120,110,1
Hartsbourne Primary School,Primary,100,100,3
Andrews Lane Primary School,Primary,110,105,2
Newberries Primary School,Primary,110,100,2
Rickmansworth Park Junior Mixed and Infant School,Primary,105,105,2
Bromet Primary School,Primary,130,150,2
Laurance Haines School,Primary,270,270,2
Woodside Primary School,Primary,105,115,2
Longlands Primary School and Nursery,Primary,95,110,2
Fairfields Primary School and Nursery,Primary,240,230,2
Bonneygrove Primary School,Primary,185,205,2
Burleigh Primary School,Primary,210,195,2
Cranborne Primary School,Primary,240,205,2
Ladbrooke Junior Mixed and Infant School,Primary,105,125,2
Oakmere Primary School,Primary,140,135,2
Millbrook School,Primary,100,105,2
St John's Church of England Infant and Nursery School,Primary,120,110,1
Ashfield Junior School,Primary,130,110,2
Ponsbourne St Mary's Church of England Primary School,Primary,45,55,1
Dewhurst St Mary CofE Primary School,Primary,90,105,2
Holy Trinity Church of England Primary School,Primary,110,90,3
St Joseph's Catholic Primary School,Primary,125,140,1
St Nicholas Elstree Church of England VA Primary School,Primary,95,100,2
"St Mary's Church of England Primary School, Rickmansworth",Primary,125,105,2
St Peter's Church of England Voluntary Aided Primary School,Primary,110,120,2
St Joseph Catholic Primary School,Primary,120,120,2
St Teresa Roman Catholic Primary School,Primary,120,120,3
St John Catholic Primary School,Primary,115,80,3
Sacred Heart Catholic Primary School and Nursery,Primary,150,160,2
St Paul's Catholic Primary School,Primary,115,110,3
St Anthony's Catholic Primary School,Primary,200,145,1
Pope Paul Catholic Primary School,Primary,105,100,3
Parkside Community Primary School,Primary,155,140,2
St Giles' CofE Primary School,Primary,55,45,3
Cuffley School,Primary,210,240,2
Little Heath Primary School,Primary,120,115,2
Northaw Church of England Primary School,Primary,50,60,2
Brookmans Park Primary School,Primary,175,165,2
Chancellor's School,Secondary,570,510,2
Cheshunt School,Secondary,245,230,3
Maypole Primary School,Primary,170,185,2
Crockenhill Primary School,Primary,120,90,2
The Anthony Roper Primary School,Primary,145,170,2
Halstead Community Primary School,Primary,40,35,3
Shoreham Village School,Primary,55,45,2
High Firs Primary School,Primary,110,95,2
Temple Hill Community Primary and Nursery School,Primary,320,285,3
West Hill Primary School,Primary,255,240,2
St Pauls' Church of England Voluntary Controlled Primary School,Primary,60,45,3
Stone St Mary's CofE Primary School,Primary,240,225,2
Sundridge and Brasted Church of England Voluntary Controlled Primary School,Primary,40,40,1
Churchill Church of England Voluntary Controlled Primary School,Primary,150,135,2
St Katharine's Knockholt Church of England Voluntary Aided Primary School,Primary,100,105,2
"Chevening, St Botolph's Church of England Voluntary Aided Primary School",Primary,105,100,1
St Mary's Church of England Voluntary Aided Primary School,Primary,115,115,3
St Anselm's Catholic Primary School,Primary,90,120,2
"Our Lady's Catholic Primary School, Dartford",Primary,110,110,2
Dartford Science & Technology College,Secondary,20,710,2
"Holy Trinity Church of England Primary School, Dartford",Primary,215,195,3
"St Bartholomew's Catholic Primary School, Swanley",Primary,175,170,2
Dartford Grammar School for Girls,Secondary,15,1060,2
Springfield Community Primary School,Primary,130,135,1
Woodmansterne Primary School,Primary,185,185,3
Hamsey Green Primary,Primary,215,190,3
Woodlea Primary School,Primary,115,90,2
Ewell Grove Infant and Nursery School,Primary,145,125,1
Epsom Primary and Nursery School,Primary,285,255,2
Auriol Junior School,Primary,170,190,2
The Mead Infant School,Primary,185,170,1
West Ewell Infant School,Primary,220,210,1
Cuddington Community Primary School,Primary,105,90,3
The Orchard Infant School,Primary,125,145,1
Hinchley Wood Primary School,Primary,265,270,2
Long Ditton Infant and Nursery School,Primary,130,115,2
Thames Ditton Junior School,Primary,225,200,2
Thames Ditton Infant School,Primary,155,145,1
Barnett Wood Infant School,Primary,80,75,1
Fetcham Village Infant School,Primary,90,90,1
Merstham Primary School,Primary,155,105,3
Tatsfield Primary School,Primary,90,115,2
Shawley Community Primary School,Primary,145,125,2
The Greville Primary School,Primary,245,290,2
Oakfield Junior School,Primary,135,115,2
Banstead Community Junior School,Primary,155,185,2
West Ashtead Primary School,Primary,165,170,2
Warren Mead Infant School,Primary,100,100,2
Wallace Fields Infant School,Primary,100,80,1
Hurst Park Primary School,Primary,170,175,2
Downs Way School,Primary,50,70,2
Grovelands Primary School,Primary,185,170,2
Bell Farm Primary School,Primary,250,235,2
Audley Primary School,Primary,110,90,2
Stamford Green Primary School,Primary,190,230,1
Thorpe Lea Primary School,Primary,100,120,3
Clarendon Primary School,Primary,125,115,2
Riverbridge Primary School,Primary,330,310,3
Chennestone Primary School,Primary,185,175,2
Spelthorne School,Primary,335,290,2
Beauclerc Infant and Nursery School,Primary,75,80,2
Hythe Primary School,Primary,125,125,2
Claygate Primary School,Primary,235,220,2
Ashford Park Primary School,Primary,220,195,2
Chandlers Field Primary School,Primary,235,230,3
Town Farm Primary School & Nursery,Primary,260,240,2
Epsom Downs Primary School and Children's Centre,Primary,215,205,2
Furzefield Primary School,Primary,260,245,2
St Martin's CofE (Aided) Junior School,Primary,135,135,2
The Royal Kent CofE Primary School,Primary,95,105,2
"St Martin's CofE Aided Infant School, Epsom",Primary,110,130,1
St John's CofE Aided Primary School,Primary,215,270,2
St Peter and St Paul CofE Infant School,Primary,45,40,1
"St Lawrence CofE Aided Junior School, East Molesey",Primary,165,170,2
Long Ditton St Mary's CofE (Aided) Junior School,Primary,105,70,3
St Giles' CofE (Aided) Infant School,Primary,45,60,3
Limpsfield CofE Infant School,Primary,90,90,1
St Mary's CofE Junior School,Primary,160,200,1
St Francis Catholic Primary School,Primary,175,175,3
St Joseph's Catholic Primary School,Primary,210,195,2
St Peter's Catholic Primary School,Primary,130,115,2
"St Paul's Catholic Primary School, Thames Ditton",Primary,200,190,2
St Ignatius RC Primary School,Primary,200,205,3
Our Lady of the Rosary RC Primary School,Primary,110,105,2
St Anne's Catholic Primary School,Primary,200,200,2
St Clement's Catholic Primary School,Primary,110,95,3
Ashford CofE Primary School,Primary,200,205,2
Laleham CofE VA Primary School,Primary,210,210,2
St Nicholas CofE Primary School,Primary,265,290,2
Littleton CofE Infant School,Primary,50,40,2
St Michael Catholic Primary School,Primary,240,190,1
Cardinal Newman Catholic Primary School,Primary,205,205,2
St Alban's Catholic Primary School,Primary,100,100,2
Therfield School,Secondary,465,360,2
St Andrew's Catholic School,Secondary,590,410,1
Royal Alexandra and Albert School,All Through,535,460,2
Hawkedale Infants - A Foundation School,Primary,45,40,2
Tadworth Primary School,Primary,205,200,2
Wallace Fields Junior School,Primary,150,125,1
de Stafford School,Secondary,400,370,2
St Paul's Catholic College,Secondary,615,430,2
Redbridge Primary School,Primary,355,360,1
The Elmgreen School,Secondary,590,425,2
Wembley Primary School,Primary,480,420,2
Rushmore Primary School,Primary,260,215,2
Gayhurst Community School,Primary,310,270,2
Monteagle Primary School,Primary,400,355,3
Christopher Hatton Primary School,Primary,125,110,1
Ainslie Wood Primary School,Primary,245,215,2
Arnhem Wharf Primary School,Primary,310,315,2
Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,Primary,345,320,2
Alexandra Primary School,Primary,190,180,2
Sandringham Primary School,Primary,485,475,2
Paddington Academy,Secondary,605,590,1
Ridgeway Primary School,Primary,340,340,1
Bessemer Grange Primary School,Primary,265,250,2
Godwin Primary School,Primary,340,270,3
Middle Park Primary School,Primary,215,215,2
Timbercroft Primary School,Primary,255,195,2
William Patten Primary School,Primary,220,230,1
Brettenham Primary School,Primary,255,225,2
Muschamp Primary School and Language Opportunity Base,Primary,295,255,2
Central Park Primary School,Primary,470,480,2
Hasmonean Primary School,Primary,105,135,2
Highlands Primary School,Primary,365,330,2
Barn Croft Primary School,Primary,105,100,3
The Petchey Academy,Secondary,765,420,2
Riverview CofE Primary and Nursery School VA,Primary,110,130,2
Stroud Green Primary School,Primary,195,200,2
Fern Hill Primary School,Primary,360,310,1
Culvers House Primary School,Primary,250,225,2
Discovery Primary School,Primary,325,295,2
Cranmere Primary School,Primary,200,165,2
Hoxton Garden Primary,Primary,140,155,3
Grange Primary School,Primary,415,385,2
South Rise Primary School,Primary,340,330,2
Montem Primary School,Primary,230,225,2
Warren Primary School,Primary,250,255,2
The Moriah Jewish Day School,Primary,125,110,2
James Wolfe Primary School and Centre for the Deaf,Primary,310,245,2
Bonneville Primary School,Primary,200,205,2
Westminster Academy,Secondary,625,475,1
Virgo Fidelis Convent Senior School,Secondary,0,705,2
Mayespark Primary School,Primary,435,415,2
Ray Lodge Primary School,Primary,315,305,2
Elthorne Park High School,Secondary,590,470,2
Whitchurch Primary School & Nursery,Primary,185,180,1
Surrey Square Primary School,Primary,230,215,2
Newington Green Primary School,Primary,220,195,2
Rosendale Primary School,Primary,360,330,1
Hill Mead Primary School,Primary,225,225,1
Menorah Foundation School,Primary,180,150,2
Oakthorpe Primary School,Primary,280,245,1
St Mary's RC Primary School,Primary,210,185,4
The Mawney School,Primary,150,180,2
Earlham Primary School,Primary,210,225,3
"Sacred Heart Catholic Primary School, Battersea",Primary,260,210,2
Chesterfield Primary School,Primary,430,450,2
Bickley Primary School,Primary,195,220,2
Pinner Wood School,Primary,290,270,1
The R J Mitchell Primary School,Primary,125,85,2
Lordship Lane Primary School,Primary,325,340,2
The Bridge Academy,Secondary,535,540,2
Britannia Village Primary School,Primary,230,220,1
Wessex Gardens Primary School,Primary,255,245,2
Cranbrook Primary School,Primary,485,485,2
Winston Way Primary School,Primary,360,340,2
Cherry Lane Primary School,Primary,325,305,2
West Grove Primary School,Primary,230,235,2
Clore Tikva School,Primary,230,235,2
Arts and Media School Islington,Secondary,325,220,2
Betty Layward Primary School,Primary,240,210,2
Bruce Grove Primary School,Primary,235,215,2
Harry Gosling Primary School,Primary,235,235,2
Rotherfield Primary School,Primary,190,200,2
Poole's Park Primary School,Primary,185,180,3
Harris Academy Bermondsey,Secondary,0,770,1
Ark Burlington Danes Academy,All Through,610,485,1
Park View School,Secondary,590,450,2
Canonbury Primary School,Primary,230,225,2
Gascoigne Primary School,Primary,625,535,2
Wykeham Primary School,Primary,230,235,3
Hitherfield Primary School,Primary,310,335,2
Alexander McLeod Primary School,Primary,305,310,2
Hugh Myddelton Primary School,Primary,225,220,3
Brunswick Park Primary School,Primary,275,270,3
Hunters Hall Primary School,Primary,340,360,2
Southwood Primary School,Primary,285,280,2
Christchurch Primary School,Primary,605,495,1
Muswell Hill Primary School,Primary,200,220,1
Henry Fawcett Primary School,Primary,165,180,2
Risley Avenue Primary School,Primary,360,325,2
Gallions Primary School,Primary,330,305,2
Harris Academy Merton,Secondary,675,480,1
Avigdor Hirsch Torah Temimah Primary School,Primary,210,0,2
Kingsley Primary School,Primary,515,460,2
St Antony's RC Primary School,Primary,220,240,2
The Royal Docks Community School,Secondary,375,410,3
South Park Primary School,Primary,425,390,2
St Mary and St Michael Primary School,Primary,215,250,3
Hertsmere Jewish Primary School,Primary,235,210,1
The Orion Primary School,Primary,410,350,1
The Vale Primary School,Primary,95,105,2
Kingsford Community School,Secondary,725,730,2
St John and St James CofE Primary School,Primary,140,135,1
Holly Trees Primary School,Primary,220,195,2
Aragon Primary School,Primary,315,280,2
Malmesbury Primary School,Primary,240,230,3
Highfield Primary School,Primary,265,280,2
Kingsgate Primary School,Primary,300,250,1
Seven Sisters Primary School,Primary,240,225,3
Highlands School,Secondary,755,760,1
Crane Park Primary School,Primary,265,230,3
Fairholme Primary School,Primary,325,295,2
Green Dragon Primary School,Primary,245,235,3
Harris Girls' Academy East Dulwich,Secondary,0,820,1
Walthamstow Academy,Secondary,535,445,2
Engayne Primary School,Primary,325,300,2
Sir John Heron Primary School,Primary,245,240,2
Conway Primary School,Primary,250,225,2
Plaistow Primary School,Primary,245,225,1
Kaizen Primary School,Primary,255,215,1
Eglinton Primary School,Primary,295,270,2
Deansfield Primary School,Primary,210,250,1
Hillhouse CofE Primary School,Primary,110,120,2
Lammas School and Sixth Form,Secondary,385,300,2
St Elizabeth Catholic Primary School,Primary,240,205,3
Bishop Challoner Catholic Federations of Boys School,Secondary,575,0,2
Kings Avenue School,Primary,220,225,2
Kew Riverside Primary School,Primary,100,95,2
Pardes House Primary School,Primary,235,0,2
Beis Yaakov Primary School,Primary,0,510,2
Greig City Academy,Secondary,710,420,2
Oaks Park High School,Secondary,810,790,1
The William Hogarth Primary School,Primary,170,150,2
Keys Meadow School,Primary,220,235,2
Jo Richardson Community School,Secondary,655,675,2
Lansbury Lawrence Primary School,Primary,295,250,2
Loughborough Primary School,Primary,265,240,2
Yesodey Hatorah Senior Girls School,Secondary,0,335,2
Jubilee Primary School,Primary,225,220,3
St. Dominic's Catholic Primary School,Primary,225,215,2
Mulberry Primary School,Primary,360,325,2
Southfield Park Primary School,Primary,195,195,1
JFS,Secondary,1045,1020,3
Marshgate Primary School,Primary,220,250,1
The Business Academy Bexley,All Through,770,755,2
St Thomas of Canterbury Catholic Primary School,Primary,330,345,2
Oakdale Junior School,Primary,165,180,2
Oakdale Infants' School,Primary,175,155,2
Gearies Primary School,Primary,355,345,1
Churchfields Junior School,Primary,245,235,1
Churchfields Infants' School,Primary,240,240,1
Parkhill Infants' School,Primary,170,175,1
Parkhill Junior School,Primary,220,170,2
St Mark's Church of England Academy,Secondary,465,375,2
Blenheim Primary School,Primary,100,115,2
Larmenier & Sacred Heart Catholic Primary School,Primary,215,250,1
Gatton (VA) Primary School,Primary,210,205,1
Upland Primary School,Primary,235,220,2
Malmesbury Primary School,Primary,270,315,2
Tweeddale Primary School,Primary,215,240,3
Orchard School,Primary,130,95,2
Petts Hill Primary School,Primary,125,130,2
Harris Academy Peckham,Secondary,475,315,2
Capital City Academy,Secondary,635,540,2
Keston Primary School,Primary,205,255,2
Normand Croft Community School for Early Years and Primary Education,Primary,130,120,3
Starks Field Primary School,Primary,235,220,3
Oasis Academy Enfield,Secondary,495,555,2
St Mary Magdalene Academy,All Through,615,545,2
Alec Reed Academy,All Through,780,650,2
Kensington Avenue Primary School,Primary,315,340,3
The Orchard School,Primary,100,75,2
Downsview Community Primary School,Primary,95,105,2
Walton Oak Primary School,Primary,225,245,2
Lubavitch Ruth Lunzer Girls Primary School,Primary,0,150,2
